Data,Em_Investigacao,Descartados,Em_Isolamento_Domiciliar,Recuperados,Obitos_Descartados,Quarentena_Domiciliar,Quarentena_Cumprida,Internados_Em_Investigacao,Internados_Confirmados,Obitos_Confirmados,Positivo_Obito_Outra_Comorbidade
22/08/2020,229,1751,440,778,16,267,596,38,62,60,1
17/08/2020,227,1717,425,776,16,267,593,37,62,60,1
14/08/2020,198,1374,426,661,15,268,532,26,55,55,1
13/08/2020,197,1343,424,656,15,215,532,24,54,55,1
11/08/2020,181,1322,405,639,14,133,521,25,57,53,1
10/08/2020,183,1320,387,630,14,120,514,25,57,53,1
07/08/2020,182,1302,392,584,13,72,514,23,55,50,1
06/08/2020,179,1292,392,566,7,57,514,23,55,48,1
05/08/2020,178,1222,403,542,4,49,515,20,57,47,1
04/08/2020,181,1157,351,531,4,51,518,21,57,46,1
03/08/2020,182,1140,341,531,4,50,518,24,55,43,1
02/08/2020,176,1129,342,531,4,45,531,23,51,43,1
01/08/2020,176,1123,339,531,4,45,518,23,53,41,1
31/07/2020,187,1064,314,523,4,39,518,26,54,39,1
30/07/2020,181,1045,327,496,4,35,518,27,51,38,1
29/07/2020,155,989,343,473,4,8,519,18,46,38,1
28/07/2020,160,952,325,472,4,8,519,22,47,38,1
27/07/2020,166,949,348,421,4,8,519,27,52,36,1
26/07/2020,167,936,355,414,4,8,519,28,54,33,1
25/07/2020,160,937,390,369,4,8,520,23,57,32,1
23/07/2020,175,868,424,325,4,9,523,23,57,27,1
22/07/2020,177,855,446,276,4,10,523,14,53,25,1
21/07/2020,177,843,461,239,4,7,523,13,53,23,1
20/07/2020,176,815,474,224,4,7,525,9,50,21,1
19/07/2020,182,787,458,224,4,18,514,13,50,21,1
18/07/2020,181,768,451,224,3,18,517,12,50,21,1
17/07/2020,183,751,416,206,3,41,495,17,46,20,1
16/07/2020,181,744,406,189,3,42,496,12,45,17,1
15/07/2020,168,721,413,167,3,45,487,12,47,16,1
14/07/2020,183,695,397,152,3,61,475,18,41,15,1
13/07/2020,186,683,366,153,3,57,477,16,31,15,1
12/07/2020,180,668,363,153,3,54,475,13,29,15,1
11/07/2020,172,668,329,153,3,81,456,11,29,14,1
10/07/2020,147,651,342,121,3,81,455,12,28,14,1
09/07/2020,142,647,290,115,3,70,451,8,19,12,1
08/07/2020,147,641,299,96,3,63,452,10,19,11,1
07/07/2020,153,599,286,96,3,66,448,10,14,9,1
06/07/2020,154,589,240,96,3,66,448,8,16,7,1
05/07/2020,153,587,224,96,3,47,446,8,16,7,1
04/07/2020,151,586,221,91,3,54,440,8,16,7,1
03/07/2020,138,575,199,91,3,48,433,7,17,7,1
02/07/2020,138,568,180,91,3,44,434,6,17,7,1
01/07/2020,144,544,176,90,3,42,434,7,14,7,1 
30/06/2020,128,542,168,90,3,15,434,7,13,6,1
29/06/2020,129,533,152,90,3,20,428,6,14,6,1
28/06/2020,128,533,141,90,2,32,420,5,14,6,1
26/06/2020,129,522,109,90,2,33,421,5,9,4,1
25/06/2020,126,509,101,90,2,18,421,5,8,4,1
24/06/2020,124,506,90,88,2,14,419,4,7,4,1
23/06/2020,124,497,82,88,2,15,419,6,3,4,1
22/06/2020,122,489,76,88,2,26,408,6,2,4,1
21/06/2020,124,485,79,81,2,29,406,7,2,4,1
20/06/2020,126,481,72,81,2,32,399,6,1,4,1
19/06/2020,123,470,58,81,2,36,395,6,1,4,1
18/06/2020,125,457,51,81,2,35,397,6,1,3,1
17/06/2020,103,452,58,69,2,38,394,6,1,3,1
16/06/2020,112,446,43,67,2,44,381,3,2,2,1
15/06/2020,109,444,38,67,2,44,381,2,2,2,1
14/06/2020,112,443,34,67,2,57,372,6,1,2,1
13/06/2020,117,438,31,67,2,61,369,6,1,2,1
12/06/2020,109,429,54,38,2,64,366,6,NaN,2,1
11/06/2020,111,416,44,38,2,76,348,8,NaN,2,1
10/06/2020,111,414,41,38,1,53,362,8,NaN,2,1
09/06/2020,102,396,37,38,1,44,360,8,NaN,2,NaN
08/06/2020,105,390,32,38,1,50,353,8,NaN,1,NaN
05/06/2020,113,376,48,19,2,48,349,8,NaN,1,NaN
04/06/2020,101,367,50,14,2,44,349,7,NaN,1,NaN
03/06/2020,100,364,44,14,2,41,348,7,NaN,1,NaN
02/06/2020,85,348,40,14,2,33,349,7,NaN,1,NaN
01/06/2020,92,336,37,14,2,19,356,7,NaN,1,NaN
29/05/2020,83,325,28,14,2,15,352,6,NaN,1,NaN
28/05/2020,79,317,22,14,2,23,348,5,NaN,1,NaN
27/05/2020,65,307,19,14,2,28,349,5,NaN,1,NaN
26/05/2020,66,300,14,14,2,24,349,3,1,NaN,NaN
25/05/2020,58,292,10,14,2,16,348,2,NaN,NaN,NaN
22/05/2020,51,271,7,12,2,26,340,1,NaN,NaN,NaN
21/05/2020,43,255,6,12,2,28,337,1,NaN,NaN,NaN
20/05/2020,41,253,6,12,2,27,335,1,NaN,NaN,NaN
19/05/2020,43,246,4,12,2,27,335,1,NaN,NaN,NaN
18/05/2020,39,246,4,12,2,26,335,1,NaN,NaN,NaN
17/05/2020,40,243,4,12,2,27,333,1,NaN,NaN,NaN
15/05/2020,42,239,4,12,2,25,331,2,NaN,NaN,NaN
14/05/2020,41,232,6,10,2,22,333,2,NaN,NaN,NaN
13/05/2020,42,219,5,8,2,19,333,2,NaN,NaN,NaN
12/05/2020,41,213,4,8,2,20,330,2,NaN,NaN,NaN
11/05/2020,42,200,3,8,2,29,326,2,NaN,NaN,NaN
09/05/2020,43,197,3,8,2,24,326,3,NaN,NaN,NaN
08/05/2020,41,197,3,8,2,25,324,NaN,NaN,NaN,NaN
06/05/2020,37,193,3,8,1,23,320,NaN,NaN,NaN,NaN
05/05/2020,32,192,3,8,1,18,319,NaN,NaN,NaN,NaN
04/05/2020,31,186,2,8,1,16,318,NaN,NaN,NaN,NaN
03/05/2020,30,184,2,8,1,14,315,NaN,NaN,NaN,NaN
02/05/2020,30,184,2,8,1,12,315,NaN,NaN,NaN,NaN
01/05/2020,32,181,1,8,1,12,315,NaN,NaN,NaN,NaN
30/04/2020,26,181,1,8,1,17,310,NaN,NaN,NaN,NaN
29/04/2020,25,179,NaN,8,1,17,308,NaN,NaN,NaN,NaN
28/04/2020,17,178,1,7,1,16,308,NaN,NaN,NaN,NaN
26/04/2020,18,161,1,7,1,17,302,NaN,NaN,NaN,NaN
25/04/2020,21,158,1,7,1,22,297,NaN,NaN,NaN,NaN
24/04/2020,20,157,1,7,1,23,292,NaN,NaN,NaN,NaN
23/04/2020,19,136,1,7,1,27,288,NaN,NaN,NaN,NaN
22/04/2020,20,83,1,7,1,21,315,NaN,NaN,NaN,NaN
21/04/2020,17,81,1,7,1,26,311,NaN,NaN,NaN,NaN
19/04/2020,16,79,1,7,1,27,307,NaN,NaN,NaN,NaN
18/04/2020,17,76,1,7,1,33,302,NaN,NaN,NaN,NaN
17/04/2020,17,75,1,7,1,38,292,NaN,NaN,NaN,NaN
16/04/2020,NaN,75,1,7,1,56,275,NaN,NaN,NaN,NaN
15/04/2020,12,75,NaN,7,NaN,55,274,NaN,NaN,NaN,NaN
14/04/2020,16,73,3,4,NaN,63,262,NaN,NaN,NaN,NaN
13/04/2020,23,63,3,4,NaN,60,262,NaN,NaN,NaN,NaN
12/04/2020,24,62,3,4,NaN,54,259,NaN,NaN,NaN,NaN
11/04/2020,24,62,3,4,NaN,62,251,NaN,NaN,NaN,NaN
10/04/2020,29,57,3,4,NaN,75,238,NaN,NaN,NaN,NaN
09/04/2020,40,39,3,3,NaN,77,236,NaN,NaN,NaN,NaN
08/04/2020,391,40,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
07/04/2020,377,38,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
06/04/2020,360,34,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
05/04/2020,342,16,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
03/04/2020,351,14,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
02/04/2020,346,8,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01/04/2020,329,6,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30/03/2020,306,6,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27/03/2020,215,6,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26/03/2020,191,6,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25/03/2020,155,4,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24/03/2020,146,4,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23/03/2020,119,4,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22/03/2020,101,4,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21/03/2020,50,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19/03/2020,18,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

